date,value,key
1997,574677,Brasil
1998,496603,Brasil
1999,313034,Brasil
2000,261096,Brasil
2001,240609,Brasil
2002,129605,Brasil
2003,108795,Brasil
2004,159103,Brasil
2005,200321,Brasil
2006,283762,Brasil
2007,359735,Brasil
2008,449889,Brasil
2009,484038,Brasil
2010,556061,Brasil
2011,801371,Brasil
2012,1049689,Brasil
2013,982463,Brasil
2014,1086906,Brasil
2015,930306,Brasil
2016,503642,Brasil
1997,172354.75,Média RICS
1998,189880.25,Média RICS
1999,189817,Média RICS
2000,220761.25,Média RICS
2001,231621.5,Média RICS
2002,190460.25,Média RICS
2003,175227.25,Média RICS
2004,202816.75,Média RICS
2005,221725,Média RICS
2006,251939.75,Média RICS
2007,325236,Média RICS
2008,342470.25,Média RICS
2009,307888.25,Média RICS
2010,365450,Média RICS
2011,440943.5,Média RICS
2012,538233.5,Média RICS
2013,620117.25,Média RICS
2014,720439.75,Média RICS
2015,952475,Média RICS
2016,873384,Média RICS